# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.657683812488e-10       7.670760119587e-15       2.358057351611e-13       0.000000000000e+00       8.640052688234e-11       9.345471480573e-12      -1.073240383757e-14 
   41       1.682881909022e-10       8.332375961768e-15       2.268260854332e-13       0.000000000000e+00       8.211990662144e-11       8.938800770963e-12      -1.103547939935e-14 
   42       1.707567218986e-10       9.029175660859e-15       2.159895096259e-13       0.000000000000e+00       7.812238596815e-11       8.526636183267e-12      -1.106922780679e-14 
   43       1.732461621960e-10       9.762435906409e-15       2.035633493186e-13       0.000000000000e+00       7.438493880073e-11       8.153031303866e-12      -1.040177714927e-14 
   44       1.758464984895e-10       1.053275224083e-14       1.893443207484e-13       0.000000000000e+00       7.088535485930e-11       7.823780797612e-12      -8.951679489643e-15 
   45       1.783817057801e-10       1.134024561088e-14       1.733701103415e-13       0.000000000000e+00       6.760454589835e-11       7.472404945317e-12      -7.877399643343e-15 
   46       1.809748543306e-10       1.218574060788e-14       1.557958607776e-13       0.000000000000e+00       6.452477949693e-11       7.154864480602e-12      -6.680925264267e-15 
   47       1.836120243990e-10       1.306953070954e-14       1.366770623034e-13       0.000000000000e+00       6.163249766251e-11       6.870913437298e-12      -5.669458264710e-15 
   48       1.862268714180e-10       1.399160100494e-14       1.160363829464e-13       0.000000000000e+00       5.891092579883e-11       6.596327462163e-12      -5.424005197494e-15 
   49       1.888591727520e-10       1.495178259872e-14       9.385439497198e-14       0.000000000000e+00       5.634875058917e-11       6.331980228600e-12      -5.787751307118e-15 
   50       1.915624067063e-10       1.595002159134e-14       7.011060363090e-14       0.000000000000e+00       5.393305124967e-11       6.084026499686e-12      -6.412250088423e-15 
   51       1.943033312714e-10       1.698723208859e-14       4.483419845292e-14       0.000000000000e+00       5.165444692026e-11       5.850138895402e-12      -7.145290727255e-15 
   52       1.970356797098e-10       1.806438227417e-14       1.802050734417e-14       0.000000000000e+00       4.950209695202e-11       5.626716273893e-12      -7.873689918260e-15 
   53       1.997833643736e-10       1.918131389481e-14      -1.055890906900e-14       0.000000000000e+00       4.746813320860e-11       5.417346066388e-12      -8.459646561849e-15 
   54       2.025794250915e-10       2.033755879435e-14      -4.112042748106e-14       0.000000000000e+00       4.554356362708e-11       5.225576304421e-12      -8.777960094310e-15 
   55       2.054031389737e-10       2.153295791849e-14      -7.347985936040e-14       0.000000000000e+00       4.372175231981e-11       5.045461369945e-12      -8.830246901376e-15 
   56       2.082284664119e-10       2.276742763039e-14      -1.074281301138e-13       0.000000000000e+00       4.199514931891e-11       4.869213873604e-12      -8.675219200525e-15 
   57       2.110834830523e-10       2.404099271625e-14      -1.432167533443e-13       0.000000000000e+00       4.035809457950e-11       4.695631232207e-12      -8.450552818929e-15 
   58       2.139987456283e-10       2.535354280512e-14      -1.811221194721e-13       0.000000000000e+00       3.880419535204e-11       4.526096931404e-12      -8.301399038219e-15 
   59       2.169425456664e-10       2.670433911260e-14      -2.208864525107e-13       0.000000000000e+00       3.732865150699e-11       4.365681073244e-12      -8.262977636150e-15 
   60       2.198785394713e-10       2.809253041323e-14      -2.621902849272e-13       0.000000000000e+00       3.592607923424e-11       4.218817215593e-12      -8.344925484554e-15 
   61       2.228389835192e-10       2.951783079401e-14      -3.051903823026e-13       0.000000000000e+00       3.459237817659e-11       4.081660640431e-12      -8.574983946124e-15 
   62       2.258618768587e-10       3.098011152473e-14      -3.501089727275e-13       0.000000000000e+00       3.332296215799e-11       3.948756999464e-12      -8.969389741719e-15 
   63       2.289187111373e-10       3.247932111553e-14      -3.968224598125e-13       0.000000000000e+00       3.211429264447e-11       3.819435168831e-12      -9.468489000905e-15 
   64       2.319741120626e-10       3.401528664468e-14      -4.451719197651e-13       0.000000000000e+00       3.096243806731e-11       3.694637970696e-12      -9.988276681429e-15 
   65       2.350540509730e-10       3.558724346835e-14      -4.953047195413e-13       0.000000000000e+00       2.986438100824e-11       3.576811562275e-12      -1.045178367281e-14 
   66       2.381914705439e-10       3.719441335116e-14      -5.473995040303e-13       0.000000000000e+00       2.881675425906e-11       3.467842445848e-12      -1.079656074518e-14 
   67       2.413695496802e-10       3.883686079445e-14      -6.013607667962e-13       0.000000000000e+00       2.781678393869e-11       3.365053058613e-12      -1.103278759867e-14 
   68       2.445624270071e-10       4.051455585578e-14      -6.570337662869e-13       0.000000000000e+00       2.686147958467e-11       3.265055653884e-12      -1.118455608122e-14 
   69       2.477716239867e-10       4.222600942230e-14      -7.143689610520e-13       0.000000000000e+00       2.594890540535e-11       3.167853313679e-12      -1.124322914390e-14 
   70       2.510063408648e-10       4.396919719541e-14      -7.733432880525e-13       0.000000000000e+00       2.507667831929e-11       3.074378575046e-12      -1.119044508531e-14 
   71       2.542747776215e-10       4.574207473968e-14      -8.339248314359e-13       0.000000000000e+00       2.424194680713e-11       2.985376703040e-12      -1.102524659449e-14 
   72       2.575791504760e-10       4.754316572329e-14      -8.960508214567e-13       0.000000000000e+00       2.344312771742e-11       2.900678776325e-12      -1.082475498326e-14 
   73       2.609197131722e-10       4.937107781815e-14      -9.596453367043e-13       0.000000000000e+00       2.267842253419e-11       2.819786907267e-12      -1.069527615716e-14 
   74       2.642958117098e-10       5.122432831243e-14      -1.024639871713e-12       0.000000000000e+00       2.194565298455e-11       2.742151561918e-12      -1.071468910331e-14 
   75       2.677046414573e-10       5.310134679460e-14      -1.091019112343e-12       0.000000000000e+00       2.124349096352e-11       2.667389717585e-12      -1.080347406066e-14 
   76       2.711422023795e-10       5.500046995535e-14      -1.158783471880e-12       0.000000000000e+00       2.057039656405e-11       2.595098464410e-12      -1.083017465157e-14 
