# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:D_M*^2_smg            20:kineticity_smg        21:braiding_smg          22:tensor_excess_smg     23:Mpl_running_smg       24:c_s^2                 25:kin (D)               26:phi_smg               27:phi'                  28:phi''                 29:E0                    30:E1                    31:E2                    32:E3                 
       1.000000000000e+14       7.558503632225e-26       4.634785000235e-09       2.157545946648e+22       1.419767944097e+04       1.419767944097e-10       1.419767944097e+18       2.675958164815e-09       2.751560535470e+44       2.474533724663e+33       1.319602966480e+34       1.903443976270e+44       4.655004511897e+44       5.638667236037e-20       2.000000000000e+14       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      1.115012908520e-224      -0.000000000000e+00      -0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00      1.115012908520e-224       1.000000000000e+01      2.278242770203e-104      -2.019439266817e-38       4.655004511897e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.930486593843e+13       7.664693049754e-26       4.667526809499e-09       2.127654528182e+22       1.419767944097e+04       1.429706319705e-10       1.409898653522e+18       2.694689871969e-09       2.675846458098e+44       2.423287629965e+33       1.292274788281e+34       1.851067333040e+44       4.526913791292e+44       7.866632925374e-08       1.433565615563e+02       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      9.352305096836e-114       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      9.352305096836e-114       1.000000000000e+01      -6.552241795373e-49      -2.019733382528e-38       4.526913791292e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.861456399049e+13       7.772374322410e-26       4.700268618762e-09       2.098177236191e+22       1.419767944097e+04       1.439714263943e-10       1.400097967748e+18       2.713552701073e-09       2.602215788101e+44       2.373102810849e+33       1.265512560102e+34       1.800131926216e+44       4.402347714468e+44       1.573326585074e-07       7.167828077817e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      3.821194466001e-113       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      3.821194466001e-113       1.000000000000e+01      -1.315226897815e-48      -2.020613087657e-38       4.402347714468e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.792906056652e+13       7.881568409266e-26       4.733010428026e-09       2.069108333217e+22       1.419767944097e+04       1.449792263791e-10       1.390365409879e+18       2.732547569980e-09       2.530611196824e+44       2.323957288942e+33       1.239304561459e+34       1.750598097618e+44       4.281209294589e+44       2.359989877611e-07       4.778552051878e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      8.783956375092e-113       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      8.783956375092e-113       1.000000000000e+01      -1.980234974117e-48      -2.022074567519e-38       4.281209294589e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.724832231035e+13       7.992296563847e-26       4.765752237290e-09       2.040442161294e+22       1.419767944097e+04       1.459940809638e-10       1.380700506334e+18       2.751675402970e-09       2.460976933109e+44       2.275829541028e+33       1.213639314595e+34       1.702427280331e+44       4.163404213584e+44       3.146653170147e-07       3.583914038909e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      1.595747446298e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.595747446298e-112       1.000000000000e+01      -2.650478281949e-48      -2.024114203213e-38       4.163404213584e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.657231609766e+13       8.104580338273e-26       4.800313035958e-09       2.012173140838e+22       1.419767944097e+04       1.470160395305e-10       1.371102786826e+18       2.770937130790e-09       2.393258779893e+44       2.228698489625e+33       1.188505579449e+34       1.655581968676e+44       4.048840748710e+44       3.933316462684e-07       2.867131231127e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      2.548406264474e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      2.548406264474e-112       1.000000000000e+01      -3.326189837763e-48      -2.026728569203e-38       4.048840748710e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.590100903442e+13       8.218441587445e-26       4.833054845221e-09       1.984295769572e+22       1.419767944097e+04       1.480451518072e-10       1.361571784336e+18       2.790333690706e-09       2.327404011991e+44       2.182543493750e+33       1.163892348735e+34       1.610025689010e+44       3.937429701139e+44       4.719979755220e-07       2.389276025939e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      3.751487926480e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      3.751487926480e-112       1.000000000000e+01      -4.007605891228e-48      -2.029914430985e-38       3.937429701139e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.523436845523e+13       8.333902473307e-26       4.867615643889e-09       1.956804621445e+22       1.419767944097e+04       1.490814678699e-10       1.352107035090e+18       2.809866026541e-09       2.263361355045e+44       2.137344339885e+33       1.139788843122e+34       1.565722971327e+44       3.829084326508e+44       5.506643047757e-07       2.047950879376e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      5.221044414950e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      5.221044414950e-112       1.000000000000e+01      -4.694966017083e-48      -2.033668742811e-38       3.829084326508e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.457236192178e+13       8.450985469154e-26       4.900357453153e-09       1.929694345584e+22       1.419767944097e+04       1.501250381450e-10       1.342708078540e+18       2.829535088726e-09       2.201080945602e+44       2.093081233121e+33       1.116184506512e+34       1.522639321644e+44       3.723720267379e+44       6.293306340293e-07       1.791957019454e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      6.974118560120e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      6.974118560120e-112       1.000000000000e+01      -5.388513208602e-48      -2.037988645495e-38       3.723720267379e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.391495722123e+13       8.569713364010e-26       4.934918251820e-09       1.902959665247e+22       1.419767944097e+04       1.511759134120e-10       1.333374457339e+18       2.849341834347e-09       2.140514292291e+44       2.049734788490e+33       1.093069001416e+34       1.480741195136e+44       3.621255487557e+44       7.079969632829e-07       1.592850683959e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      9.028801905719e-112       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      9.028801905719e-112       1.000000000000e+01      -6.088493972714e-48      -2.042871464280e-38       3.621255487557e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.326212236467e+13       8.690109267061e-26       4.969479050487e-09       1.876595376799e+22       1.419767944097e+04       1.522341448059e-10       1.324105717318e+18       2.869287227188e-09       2.081614238066e+44       2.007286022473e+33       1.070432204430e+34       1.439995970028e+44       3.521610208222e+44       7.866632925365e-07       1.433565615563e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      1.140429592355e-111       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.140429592355e-111       1.000000000000e+01      -6.795158426827e-48      -2.048314706784e-38       3.521610208222e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.261382558557e+13       8.812196612154e-26       5.004039849155e-09       1.850596348696e+22       1.419767944097e+04       1.532997838195e-10       1.314901407466e+18       2.889372237778e-09       2.024334923493e+44       1.965716344691e+33       1.048264201800e+34       1.400371922189e+44       3.424706845806e+44       8.653296217901e-07       1.303241468694e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      1.412097676941e-111       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.412097676941e-111       1.000000000000e+01      -7.508760397373e-48      -2.054316061002e-38       3.424706845806e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.197003533820e+13       8.935999162358e-26       5.040419637226e-09       1.824957520491e+22       1.419767944097e+04       1.543728823063e-10       1.305761079906e+18       2.909597843442e-09       1.968631751039e+44       1.925007549759e+33       1.026555285078e+34       1.361838200434e+44       3.330469951595e+44       9.439959510437e-07       1.194638012969e+01       3.622712444120e-08      -3.622712444120e-08       1.000000000000e+00       0.000000000000e+00      1.720046378420e-111       0.000000000000e+00      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.720046378420e-111       1.000000000000e+01      -8.229557520148e-48      -2.060873393380e-38       3.330469951595e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
