f_init,rho_smg,p_smg,phi_0,wanted_value,c
1.7417417417417418,NaN,NaN,NaN,NaN,NaN
1.7517517517517518,NaN,NaN,NaN,NaN,NaN
1.7617617617617618,3.622868506624e-08,-6.379627574194e-09,0.993596537191,0.697995,0.00236477
1.7717717717717718,3.622876827116e-08,-9.215237695073e-09,1.052667324653,0.697995,0.00223535
1.7817817817817818,3.622870725736e-08,-1.119898384652e-08,1.097243135733,0.697995,0.00214526
1.7917917917917918,3.622870725736e-08,-1.119898384652e-08,1.097243135733,0.697995,0.00214526
1.8018018018018018,3.622868538204e-08,1.844029253155e-08,0.5841202649923,0.697995,0.00367995
1.8118118118118118,3.622868538204e-08,1.844029253155e-08,0.5841202649923,0.697995,0.00367995
1.8218218218218218,3.622868538204e-08,1.844029253155e-08,0.5841202649923,0.697995,0.00367995
1.8318318318318318,3.62291259142e-08,-1.713202596715e-08,1.253055914609,0.697995,0.00187493
1.8418418418418419,3.62291259142e-08,-1.713202596715e-08,1.253055914609,0.697995,0.00187493
1.8518518518518519,3.62291259142e-08,-1.713202596715e-08,1.253055914609,0.697995,0.00187493
1.8618618618618619,3.62291259142e-08,-1.713202596715e-08,1.253055914609,0.697995,0.00187493
1.8718718718718719,3.62287049047e-08,-2.002622050087e-08,1.34690516398,0.697995,0.00174046
1.8818818818818819,3.622854951571e-08,-2.062107002109e-08,1.368244712802,0.697995,0.00171243
1.8918918918918919,3.622792026515e-08,-2.117723160469e-08,1.388954549475,0.697995,0.00168605
1.901901901901902,3.622868134163e-08,-2.169921610745e-08,1.409079533965,0.697995,0.00166121
1.911911911911912,3.622866404269e-08,-2.219048995821e-08,1.428711117229,0.697995,0.00163766
1.921921921921922,3.622869456376e-08,-2.265417476275e-08,1.447887490305,0.697995,0.0016153
1.931931931931932,3.622868133711e-08,-2.309285898106e-08,1.466652576398,0.697995,0.00159401
1.941941941941942,3.622869797673e-08,-2.350879741613e-08,1.485042073286,0.697995,0.00157371
1.951951951951952,3.622867185291e-08,-2.390391380856e-08,1.503088593777,0.697995,0.0015543
1.961961961961962,3.622868812866e-08,-2.427992901707e-08,1.520818783199,0.697995,0.00153572
1.971971971971972,3.622868183137e-08,-2.463831641513e-08,1.538257694784,0.697995,0.00151789
1.981981981981982,3.622843175731e-08,-2.498031213315e-08,1.555429142534,0.697995,0.00150076
1.991991991991992,3.622867348335e-08,-2.530736703254e-08,1.57234427743,0.697995,0.0014843
2.002002002002002,3.622866456209e-08,-2.562025350572e-08,1.589028100739,0.697995,0.00146844
2.012012012012012,3.62286757212e-08,-2.59200182136e-08,1.605492983102,0.697995,0.00145315
2.022022022022022,3.622867573664e-08,-2.62074994167e-08,1.621752993414,0.697995,0.00143839
2.032032032032032,3.622868803533e-08,-2.648347864137e-08,1.637820338889,0.697995,0.00142413
2.042042042042042,3.622866148548e-08,-2.674863183594e-08,1.653706787882,0.697995,0.00141034
2.052052052052052,3.622870931067e-08,-2.700365383432e-08,1.66942157654,0.697995,0.001397
2.062062062062062,3.622870406756e-08,-2.724906521848e-08,1.684975266693,0.697995,0.00138407
2.0720720720720722,3.622866659903e-08,-2.748541069336e-08,1.700376254364,0.697995,0.00137154
2.0820820820820822,3.622866711902e-08,-2.771322083444e-08,1.715631838702,0.697995,0.00135938
2.0920920920920922,3.622867152131e-08,-2.793293218786e-08,1.730749608218,0.697995,0.00134758
2.1021021021021022,3.62286659708e-08,-2.814495673802e-08,1.74573640502,0.697995,0.00133612
2.1121121121121122,3.622870796391e-08,-2.834971728694e-08,1.760597995481,0.697995,0.00132498
2.1221221221221223,3.622867684575e-08,-2.854750313498e-08,1.775341116339,0.697995,0.00131414
2.1321321321321323,3.622866209342e-08,-2.873870279092e-08,1.789970420184,0.697995,0.0013036
2.1421421421421423,3.622867063749e-08,-2.892363391611e-08,1.804490861996,0.697995,0.00129334
2.1521521521521523,3.622866989143e-08,-2.910256822528e-08,1.818907355029,0.697995,0.00128334
2.1621621621621623,3.622863461444e-08,-2.927576181768e-08,1.83322443616,0.697995,0.0012736
2.1721721721721723,3.622864401223e-08,-2.944352146135e-08,1.847445610622,0.697995,0.00126411
2.1821821821821823,3.622870280169e-08,-2.960609113387e-08,1.86157468762,0.697995,0.00125485
2.1921921921921923,3.622869098899e-08,-2.976361559956e-08,1.875616097389,0.697995,0.00124582
2.2022022022022023,3.622864883616e-08,-2.991633214504e-08,1.889572920597,0.697995,0.001237
2.2122122122122123,3.622869131124e-08,-3.006451916375e-08,1.903447565874,0.697995,0.00122839
2.2222222222222223,3.622866759281e-08,-3.020826025216e-08,1.917244040046,0.697995,0.00121998
2.2322322322322323,3.62286982267e-08,-3.034781679002e-08,1.930964379255,0.697995,0.00121177
2.2422422422422423,3.622868605156e-08,-3.04832875045e-08,1.944611886237,0.697995,0.00120374
2.2522522522522523,3.622866380376e-08,-3.061485353936e-08,1.958188874664,0.697995,0.00119589
2.2622622622622623,3.62286475627e-08,-3.074267638e-08,1.971697639579,0.697995,0.00118821
2.2722722722722724,3.622863705175e-08,-3.086689801973e-08,1.985140456281,0.697995,0.0011807
2.2822822822822824,3.622866875956e-08,-3.098768059836e-08,1.99851926664,0.697995,0.00117335
2.2922922922922924,3.622673829235e-08,-3.110364322405e-08,2.011847816387,0.697995,0.00116612
2.3023023023023024,3.622672812911e-08,-3.121781940386e-08,2.025105244386,0.697995,0.00115907
2.3123123123123124,3.622678582829e-08,-3.132894253833e-08,2.038304386577,0.697995,0.00115218
2.3223223223223224,3.622683984738e-08,-3.143706872842e-08,2.051447424671,0.697995,0.00114542
2.3323323323323324,3.622680391654e-08,-3.154223576071e-08,2.064536515345,0.697995,0.0011388
2.3423423423423424,3.622685680369e-08,-3.164468191379e-08,2.077572274879,0.697995,0.00113232
2.3523523523523524,3.62268346436e-08,-3.17443749957e-08,2.090557133484,0.697995,0.00112596
2.3623623623623624,3.622684195993e-08,-3.184148770898e-08,2.103491989469,0.697995,0.00111972
2.3723723723723724,3.622691990213e-08,-3.193614029779e-08,2.116378037637,0.697995,0.00111361
2.3823823823823824,3.622692825741e-08,-3.202830449772e-08,2.129217353534,0.697995,0.00110762
2.3923923923923924,3.622694663862e-08,-3.211812307393e-08,2.142010804868,0.697995,0.00110173
2.4024024024024024,3.622693145023e-08,-3.220563694459e-08,2.154759842697,0.697995,0.00109596
