# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.452713007504e-10       5.590971498683e-15       4.078587159576e-13       0.000000000000e+00       8.453647409723e-09       4.824824110468e-10      -2.165512302223e-12 
    3       1.367144007220e-10       8.222610215659e-15       4.855688056671e-13       0.000000000000e+00       5.191564230385e-09       3.414003708279e-10      -1.773628225961e-12 
    4       1.286179152821e-10       8.243166595065e-15       4.771806123647e-13       0.000000000000e+00       3.594564466997e-09       2.582936769562e-10      -1.290890304764e-12 
    5       1.224309542011e-10       6.435446757486e-15       4.252814259064e-13       0.000000000000e+00       2.674074179865e-09       2.039454871466e-10      -8.439466277395e-13 
    6       1.180442213723e-10       4.142602177585e-15       3.566252781599e-13       0.000000000000e+00       2.083022081702e-09       1.659068917121e-10      -4.746346329234e-13 
    7       1.151190380712e-10       2.339548464222e-15       2.880968499924e-13       0.000000000000e+00       1.676473226503e-09       1.379821287319e-10      -1.982832661902e-13 
    8       1.132370860427e-10       1.324709476453e-15       2.288575765913e-13       0.000000000000e+00       1.382759216317e-09       1.167363348240e-10      -1.441877651935e-14 
    9       1.121987783331e-10       9.141230863703e-16       1.831181970896e-13       0.000000000000e+00       1.162413685631e-09       1.001581587628e-10       8.757857109498e-14 
   10       1.118033917995e-10       7.829659629584e-16       1.518337617016e-13       0.000000000000e+00       9.921291742376e-10       8.698601447651e-11       1.246332859667e-13 
   11       1.118557287165e-10       7.042920758785e-16       1.338888405720e-13       0.000000000000e+00       8.495289464706e-10       7.706844972439e-11       1.163194198532e-13 
   12       1.123160914371e-10       6.080937208722e-16       1.267917901296e-13       0.000000000000e+00       7.423435938861e-10       6.824534531208e-11       8.252957937369e-14 
   13       1.130429545411e-10       5.191499699985e-16       1.274395967552e-13       0.000000000000e+00       6.543491228184e-10       6.086795958223e-11       3.930625633521e-14 
   14       1.139717870658e-10       4.731822205045e-16       1.329493540267e-13       0.000000000000e+00       5.811235193578e-10       5.460069702497e-11      -1.082124561807e-15 
   15       1.151070192373e-10       4.749787010614e-16       1.409537500749e-13       0.000000000000e+00       5.194845962382e-10       4.931950442688e-11      -3.097200394529e-14 
   16       1.163957785720e-10       5.044141720579e-16       1.496741188895e-13       0.000000000000e+00       4.670743357024e-10       4.480405317218e-11      -4.741380470159e-14 
   17       1.178106274146e-10       5.414738873610e-16       1.581249856484e-13       0.000000000000e+00       4.221114258401e-10       4.083534382190e-11      -5.116701668257e-14 
   18       1.193532032213e-10       5.820027512533e-16       1.659213759361e-13       0.000000000000e+00       3.832294777854e-10       3.734403497171e-11      -4.517224667335e-14 
   19       1.209577926394e-10       6.358183241489e-16       1.730960284364e-13       0.000000000000e+00       3.493680051034e-10       3.425568790045e-11      -3.350880684876e-14 
   20       1.226356220893e-10       7.151273509393e-16       1.800327004492e-13       0.000000000000e+00       3.196909613390e-10       3.149962789241e-11      -2.035948567616e-14 
   21       1.244092464114e-10       8.253916496834e-16       1.871624500675e-13       0.000000000000e+00       2.935312932920e-10       2.906211547503e-11      -9.089019260870e-15 
   22       1.262376250318e-10       9.646393343023e-16       1.947843186966e-13       0.000000000000e+00       2.703511838186e-10       2.693210008657e-11      -1.773439660709e-15 
   23       1.281331137427e-10       1.128409811356e-15       2.029774685461e-13       0.000000000000e+00       2.497129574317e-10       2.505792120406e-11       9.080291660425e-16 
   24       1.300397185778e-10       1.314009385790e-15       2.117566805610e-13       0.000000000000e+00       2.312570915043e-10       2.336607437109e-11      -5.194865663052e-16 
   25       1.320428427676e-10       1.521365959635e-15       2.208184803308e-13       0.000000000000e+00       2.146862212204e-10       2.178296899874e-11      -4.865193507892e-15 
   26       1.340586034434e-10       1.751367227630e-15       2.296873525824e-13       0.000000000000e+00       1.997529742465e-10       2.032218069869e-11      -1.047006642412e-14 
   27       1.361028170914e-10       2.003652618371e-15       2.380585421266e-13       0.000000000000e+00       1.862492370666e-10       1.903050972885e-11      -1.562574925659e-14 
   28       1.382290725330e-10       2.276709544343e-15       2.454251425104e-13       0.000000000000e+00       1.739988340868e-10       1.788969628485e-11      -1.913894528590e-14 
   29       1.403236608406e-10       2.569901501822e-15       2.515415155100e-13       0.000000000000e+00       1.628520950616e-10       1.685302761145e-11      -2.040102420211e-14 
   30       1.425354475430e-10       2.884615252879e-15       2.562430090558e-13       0.000000000000e+00       1.526808611927e-10       1.589066642667e-11      -1.940400629705e-14 
   31       1.447223137295e-10       3.223722418120e-15       2.594175559714e-13       0.000000000000e+00       1.433755579201e-10       1.495826961867e-11      -1.697066449923e-14 
   32       1.469170202762e-10       3.590479203463e-15       2.613240696201e-13       0.000000000000e+00       1.348427286233e-10       1.409397210421e-11      -1.383553052742e-14 
   33       1.492401226317e-10       3.987387896702e-15       2.619113239776e-13       0.000000000000e+00       1.269999479016e-10       1.333493802619e-11      -1.057364520611e-14 
   34       1.514729542246e-10       4.415624731588e-15       2.613735201794e-13       0.000000000000e+00       1.197752128411e-10       1.266044507472e-11      -7.814014583965e-15 
   35       1.538116213364e-10       4.875817292311e-15       2.598949932808e-13       0.000000000000e+00       1.131059328093e-10       1.200819194767e-11      -6.269874521824e-15 
   36       1.562009985476e-10       5.368359252938e-15       2.572917876422e-13       0.000000000000e+00       1.069386665073e-10       1.137209555471e-11      -6.139078036019e-15 
   37       1.584961296130e-10       5.893368726446e-15       2.538077286415e-13       0.000000000000e+00       1.012248424885e-10       1.080769218870e-11      -6.805461409051e-15 
   38       1.609431483262e-10       6.451494859168e-15       2.492153721418e-13       0.000000000000e+00       9.592123497090e-11       1.031535944405e-11      -7.806904040985e-15 
   39       1.633755474870e-10       7.043774884318e-15       2.431491798074e-13       0.000000000000e+00       9.099077163296e-11       9.805332259108e-12      -9.517900417258e-15 
   40       1.657684313011e-10       7.670721820265e-15       2.358051342393e-13       0.000000000000e+00       8.640053532357e-11       9.345485275599e-12      -1.073225512788e-14 
   41       1.682881610111e-10       8.332333215816e-15       2.268250742025e-13       0.000000000000e+00       8.211991219210e-11       8.938772122621e-12      -1.103527356221e-14 
   42       1.707567484727e-10       9.029132684439e-15       2.159884248786e-13       0.000000000000e+00       7.812238859679e-11       8.526623577791e-12      -1.106900271667e-14 
   43       1.732461368200e-10       9.762391789259e-15       2.035624556809e-13       0.000000000000e+00       7.438493994396e-11       8.153062532987e-12      -1.040156106772e-14 
   44       1.758464535529e-10       1.053270622476e-14       1.893436709336e-13       0.000000000000e+00       7.088535617418e-11       7.823816550252e-12      -8.951494665069e-15 
   45       1.783817643599e-10       1.134020078879e-14       1.733693763281e-13       0.000000000000e+00       6.760454507993e-11       7.472403454790e-12      -7.877255196101e-15 
   46       1.809749240636e-10       1.218569918723e-14       1.557951732416e-13       0.000000000000e+00       6.452477873505e-11       7.154850010369e-12      -6.680835569822e-15 
   47       1.836120246863e-10       1.306949458739e-14       1.366765417492e-13       0.000000000000e+00       6.163249847449e-11       6.870910734560e-12      -5.669429984040e-15 
   48       1.862268115496e-10       1.399157188411e-14       1.160359734836e-13       0.000000000000e+00       5.891092709870e-11       6.596339432153e-12      -5.424033756557e-15 
   49       1.888590868053e-10       1.495175994886e-14       9.385411187453e-14       0.000000000000e+00       5.634875114032e-11       6.331997951747e-12      -5.787834146974e-15 
   50       1.915623320705e-10       1.595000261440e-14       7.011056180538e-14       0.000000000000e+00       5.393305046390e-11       6.084035185000e-12      -6.412382878068e-15 
   51       1.943032913933e-10       1.698721497220e-14       4.483439231076e-14       0.000000000000e+00       5.165444518088e-11       5.850134798538e-12      -7.145433093890e-15 
   52       1.970356759505e-10       1.806436697600e-14       1.802079338588e-14       0.000000000000e+00       4.950209541160e-11       5.626709025916e-12      -7.873769723312e-15 
   53       1.997833684329e-10       1.918130098408e-14      -1.055856611458e-14       0.000000000000e+00       4.746813217925e-11       5.417343249149e-12      -8.459633186704e-15 
   54       2.025793896513e-10       2.033754879154e-14      -4.111993139653e-14       0.000000000000e+00       4.554356238378e-11       5.225579462251e-12      -8.777877803520e-15 
   55       2.054030621162e-10       2.153294972117e-14      -7.347922963078e-14       0.000000000000e+00       4.372175057133e-11       5.045469176867e-12      -8.830125324764e-15 
   56       2.082283962838e-10       2.276741866437e-14      -1.074275323999e-13       0.000000000000e+00       4.199514741718e-11       4.869222212249e-12      -8.675080880473e-15 
   57       2.110834428208e-10       2.404098203920e-14      -1.432162850978e-13       0.000000000000e+00       4.035809243502e-11       4.695630472366e-12      -8.450420694309e-15 
   58       2.139987175629e-10       2.535353171497e-14      -1.811217529353e-13       0.000000000000e+00       3.880419236891e-11       4.526076906787e-12      -8.301297303879e-15 
   59       2.169425042409e-10       2.670432937889e-14      -2.208860797522e-13       0.000000000000e+00       3.732864778241e-11       4.365657212651e-12      -8.262926610935e-15 
   60       2.198784643171e-10       2.809252355822e-14      -2.621897737335e-13       0.000000000000e+00       3.592607564321e-11       4.218825149479e-12      -8.344935215465e-15 
   61       2.228388757988e-10       2.951782709557e-14      -3.051897808745e-13       0.000000000000e+00       3.459237505535e-11       4.081693783404e-12      -8.575034810331e-15 
   62       2.258617587731e-10       3.098010996331e-14      -3.501084962151e-13       0.000000000000e+00       3.332295910198e-11       3.948765139524e-12      -8.969437230409e-15 
   63       2.289185976764e-10       3.247932072791e-14      -3.968221322259e-13       0.000000000000e+00       3.211428941692e-11       3.819406641310e-12      -9.468515867774e-15 
   64       2.319740038431e-10       3.401528672634e-14      -4.451715294889e-13       0.000000000000e+00       3.096243478884e-11       3.694610635220e-12      -9.988297239624e-15 
   65       2.350539403519e-10       3.558724275658e-14      -4.953041180272e-13       0.000000000000e+00       2.986437780990e-11       3.576808885174e-12      -1.045179090112e-14 
   66       2.381913447869e-10       3.719441024528e-14      -5.473986808590e-13       0.000000000000e+00       2.881675118556e-11       3.467859033443e-12      -1.079652355522e-14 
   67       2.413693991237e-10       3.883685540144e-14      -6.013597885525e-13       0.000000000000e+00       2.781678095541e-11       3.365074604102e-12      -1.103270860076e-14 
   68       2.445622483858e-10       4.051455007946e-14      -6.570327413877e-13       0.000000000000e+00       2.686147659809e-11       3.265066456034e-12      -1.118447755761e-14 
   69       2.477714237914e-10       4.222600444768e-14      -7.143679451715e-13       0.000000000000e+00       2.594890236157e-11       3.167846294889e-12      -1.124318041248e-14 
   70       2.510061371427e-10       4.396919268896e-14      -7.733422516898e-13       0.000000000000e+00       2.507667523642e-11       3.074358991723e-12      -1.119042592728e-14 
   71       2.542745963213e-10       4.574206919307e-14      -8.339236788994e-13       0.000000000000e+00       2.424194376181e-11       2.985359552456e-12      -1.102523224093e-14 
   72       2.575790059674e-10       4.754315848793e-14      -8.960495034782e-13       0.000000000000e+00       2.344312476008e-11       2.900673185551e-12      -1.082472864616e-14 
   73       2.609196015773e-10       4.937106976757e-14      -9.596438870651e-13       0.000000000000e+00       2.267841966226e-11       2.819791089861e-12      -1.069523916561e-14 
   74       2.642957131003e-10       5.122432149262e-14      -1.024638387265e-12       0.000000000000e+00       2.194565015195e-11       2.742154924540e-12      -1.071465778817e-14 
   75       2.677045357734e-10       5.310134240557e-14      -1.091017638821e-12       0.000000000000e+00       2.124348814039e-11       2.667385744099e-12      -1.080345993239e-14 
   76       2.711420740752e-10       5.500046769847e-14      -1.158781966801e-12       0.000000000000e+00       2.057039375528e-11       2.595088769332e-12      -1.083017827677e-14 
   77       2.746051057103e-10       5.692019077901e-14      -1.227944579188e-12       0.000000000000e+00       1.992453859640e-11       2.524945354461e-12      -1.068989348097e-14 
   78       2.780964328342e-10       5.885997703534e-14      -1.298565531811e-12       0.000000000000e+00       1.930481240258e-11       2.457236961290e-12      -1.043484114885e-14 
   79       2.816205118619e-10       6.081959432766e-14      -1.370724179428e-12       0.000000000000e+00       1.870995060920e-11       2.392409509202e-12      -1.016658158499e-14 
