# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:D_M*^2_smg            20:kineticity_smg        21:braiding_smg          22:tensor_excess_smg     23:Mpl_running_smg       24:c_s^2                 25:kin (D)               26:phi_smg               27:phi'                  28:phi''                 29:E0                    30:E1                    31:E2                    32:E3                 
       9.326212236467e+13       8.690109267061e-26       4.969479050487e-09       1.876595376799e+22       1.419767961309e+04       1.522341466515e-10       1.324105733370e+18       2.869287227188e-09       2.081614238066e+44       2.007286022473e+33       1.070432204430e+34       1.439995970028e+44       3.521610208222e+44       7.866632633267e-07       1.433565615563e+01       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      7.122610283754e-113      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      7.122610283754e-113       1.000000000000e+01       1.698184758914e-48       5.118963529663e-39       3.521610208222e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.261382558557e+13       8.812196612154e-26       5.004039849155e-09       1.850596348696e+22       1.419767961309e+04       1.532997856780e-10       1.314901423406e+18       2.889372237778e-09       2.024334923493e+44       1.965716344691e+33       1.048264201800e+34       1.400371922189e+44       3.424706845806e+44       8.653295896593e-07       1.303241468694e+01       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      8.819326947384e-113      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      8.819326947384e-113       1.000000000000e+01       1.876521732712e-48       5.133961573307e-39       3.424706845806e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.197003533820e+13       8.935999162358e-26       5.040419637226e-09       1.824957520491e+22       1.419767961309e+04       1.543728841778e-10       1.305761095736e+18       2.909597843442e-09       1.968631751039e+44       1.925007549759e+33       1.026555285078e+34       1.361838200434e+44       3.330469951595e+44       9.439959159920e-07       1.194638012969e+01       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      1.074263602558e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.074263602558e-112       1.000000000000e+01       2.056656854114e-48       5.150349067467e-39       3.330469951595e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.133072029613e+13       9.061541014590e-26       5.074980435893e-09       1.799673901844e+22       1.419767961309e+04       1.554534943670e-10       1.296684305597e+18       2.929965028346e-09       1.914461350355e+44       1.885141809313e+33       1.005295946873e+34       1.324364802504e+44       3.238826152978e+44       1.022662242325e-06       1.102742781202e+01       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      1.290686168002e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.290686168002e-112       1.000000000000e+01       2.238655486666e-48       5.168121121481e-39       3.238826152978e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.069584935067e+13       9.188846604304e-26       5.109541234560e-09       1.774740571555e+22       1.419767961309e+04       1.565416688276e-10       1.287670611318e+18       2.950474783545e-09       1.861781544500e+44       1.846101664207e+33       9.844768766862e+33       1.287922551704e+44       3.149704096320e+44       1.101328568657e-06       1.023975439688e+01       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      1.532719763829e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.532719763829e-112       1.000000000000e+01       2.422583997433e-48       5.187273281514e-39       3.149704096320e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       9.006539160940e+13       9.317940710247e-26       5.145921022631e-09       1.750152676601e+22       1.419767961309e+04       1.576374605094e-10       1.278719574298e+18       2.971128107029e-09       1.810551317110e+44       1.807870016861e+33       9.640889568334e+33       1.252483074188e+44       3.063034391413e+44       1.179994894990e-06       9.557104103752e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      1.801975783244e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      1.801975783244e-112       1.000000000000e+01       2.608509783473e-48       5.207801526228e-39       3.063034391413e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.943931639464e+13       9.448848459285e-26       5.182300810702e-09       1.725905431199e+22       1.419767961309e+04       1.587409227330e-10       1.269830758985e+18       2.991926003779e-09       1.760730780457e+44       1.770430123776e+33       9.441232584526e+33       1.218018776869e+44       2.978749557439e+44       1.258661221322e-06       8.959785097268e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      2.100162996297e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      2.100162996297e-112       1.000000000000e+01       2.796501298789e-48       5.229702262608e-39       2.978749557439e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.881759324194e+13       9.581595331290e-26       5.218680598773e-09       1.701994115865e+22       1.419767961309e+04       1.598521091921e-10       1.261003732855e+18       3.012869485805e-09       1.712281144397e+44       1.733765588201e+33       9.245710375927e+33       1.184502825930e+44       2.896783970437e+44       1.337327547655e-06       8.432738915075e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      2.429093215657e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      2.429093215657e-112       1.000000000000e+01       2.986628081787e-48       5.252972321934e-39       2.896783970437e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.820019189865e+13       9.716207164099e-26       5.255060386844e-09       1.678414076504e+22       1.419767961309e+04       1.609710739564e-10       1.252238066390e+18       3.033959572205e-09       1.665164686162e+44       1.697860352951e+33       9.054237313847e+33       1.151909125936e+44       2.817073812206e+44       1.415993873987e-06       7.964253419793e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      2.790687289547e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      2.790687289547e-112       1.000000000000e+01       3.178960783237e-48       5.277608955912e-39       2.817073812206e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.758708232239e+13       9.852710158547e-26       5.291440174915e-09       1.655160723500e+22       1.419767961309e+04       1.620978714741e-10       1.243533333059e+18       3.055197289211e-09       1.619344720997e+44       1.662698693376e+33       8.866729542914e+33       1.120212299513e+44       2.739557020615e+44       1.494660200320e-06       7.545082187172e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      3.186981440658e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      3.186981440658e-112       1.000000000000e+01       3.373571194762e-48       5.303609832955e-39       2.739557020615e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
